hashtags,is_reply_to,likes,retweets,screen_name,text,timestamp,tweet_url,username,neg,neu,pos,compound
[],False,91580,12722,taylorswift13,"Thank you @people, @chiumelo, @danwakeford, and  Miller Mobley  http://peoplem.ag/eG5Ye1f pic.twitter.com/jObmAHcuuS",2019-12-04 15:19:17,/taylorswift13/status/1202245998241886209,Taylor Swift,0.0,0.783,0.217,0.3612
[],False,347477,45964,taylorswift13,This is the one face I made that daypic.twitter.com/fHtArFIxXZ,2019-12-01 17:24:39,/taylorswift13/status/1201190384543485952,Taylor Swift,0.0,1.0,0.0,0.0
[],False,245211,30700,taylorswift13,Bored girl at the holiday party.pic.twitter.com/RUgz1CmaiJ,2019-12-01 17:18:29,/taylorswift13/status/1201188834844635136,Taylor Swift,0.239,0.455,0.307,0.1531
[],False,108144,17232,taylorswift13,"HEY @britishvogue! It’s always a dreamscape of creativity & hilarity working with @Edward_Enninful but putting him together with @patmcgrathreal = the funniest wildest shoot I’ve been on  Love this team, so grateful for everyone involved Craig McDean, @GuidoPalau, @JillDemlingpic.twitter.com/AOUTCid4fG",2019-12-01 17:05:25,/taylorswift13/status/1201185542882373632,Taylor Swift,0.056,0.616,0.328,0.9516
[],False,145286,17156,taylorswift13,"So excited to release the new version of Lover, the First Dance Remix - based on the arrangement of the AMAs performance! Https://Taylor.lnk.to/firstdance pic.twitter.com/9avGusDmy0",2019-11-26 05:22:34,/taylorswift13/status/1199196728123113472,Taylor Swift,0.0,0.764,0.236,0.7773
[],False,236688,32992,taylorswift13,I was up there because of you and I know that every minute of every day  photo by  Kevin Winterpic.twitter.com/k9RW2qWdMo,2019-11-25 07:52:34,/taylorswift13/status/1198872090494955520,Taylor Swift,0.0,1.0,0.0,0.0
[],False,418004,67504,taylorswift13,Hi guys have I told you lately that I LOVE YOUpic.twitter.com/Up8XXD1XvJ,2019-11-25 07:27:46,/taylorswift13/status/1198865849227964416,Taylor Swift,0.0,0.67,0.33,0.7125
[],True,14281,2201,taylorswift13,This just made me SO emotional. @reidoburrito95 I can’t tell you how honored I am that my song has been even a small part in your journey. You did the brave thing and stood up for your truth ,2019-11-23 03:28:19,/taylorswift13/status/1198080812509515777,Taylor Swift,0.0,0.731,0.269,0.9106
[],False,893614,270279,taylorswift13,Don’t know what else to dopic.twitter.com/1uBrXwviTS,2019-11-14 23:35:53,/taylorswift13/status/1195123215657508867,Taylor Swift,0.0,1.0,0.0,0.0
[],False,188931,20865,taylorswift13,According to my jet lag it is one hundred o clock celsius.pic.twitter.com/F4rNMwFkNl,2019-11-12 16:07:10,/taylorswift13/status/1194285514544877568,Taylor Swift,0.179,0.821,0.0,-0.34
